[10:02:02 PM] Connection is connected
[10:03:26 PM] Connection is connected
[10:03:29 PM] Socket is already connected
[10:03:29 PM] Socket is already connected
[10:03:30 PM] Socket is already connected
[10:03:30 PM] Socket is already connected
[10:03:30 PM] Socket is already connected
[10:03:31 PM] Socket is already connected
[10:03:31 PM] Socket is already connected
[10:03:32 PM] Socket is already connected
[10:03:32 PM] Socket is already connected
[10:03:32 PM] Socket is already connected
[10:03:32 PM] Socket is already connected
[10:03:33 PM] Socket is already connected
[10:03:33 PM] Socket is already connected
[10:03:43 PM] Socket is already connected
[10:03:45 PM] Socket is already connected
[10:03:54 PM] Socket is already connected
[10:03:55 PM] Socket is already connected
[10:03:55 PM] Socket is already connected
[10:04:16 PM] Socket is already connected
[10:04:17 PM] Socket is already connected
[10:04:17 PM] Socket is already connected
[10:06:01 PM] Connection is connected
[10:06:35 PM] Socket is already connected
[10:06:52 PM] Socket is already connected
[10:07:15 PM] Socket is already connected
